Table 1.1.5. Gross Domestic Product																																																																																																	
[Millions of dollars]																																																																																																	
Annual data from 1929 to 2023																																																																																																	
Bureau of Economic Analysis																																																																																																	
"Data published September 26, 2024"																																																																																																	
File created Sep 26 2024 10:34AM																																																																																																	
																																																																																																	
Line			1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
11	      Equipment	Y033RC	"5,492"	"4,180"	"2,643"	"1,460"	"1,436"	"2,098"	"2,833"	"3,881"	"4,770"	"3,401"	"3,883"	"5,167"	"6,443"	"4,065"	"3,671"	"5,002"	"7,285"	"9,945"	"15,316"	"17,280"	"15,732"	"17,799"	"19,874"	"19,694"	"21,531"	"20,812"	"23,888"	"26,343"	"28,561"	"24,876"	"28,345"	"29,679"	"28,904"	"32,056"	"34,367"	"38,684"	"45,779"	"53,023"	"53,693"	"58,532"	"65,163"	"66,404"	"69,059"	"78,885"	"95,062"	"104,316"	"107,615"	"121,242"	"148,665"	"180,634"	"208,062"	"216,386"	"240,852"	"234,862"	"246,470"	"291,874"	"307,905"	"317,693"	"320,919"	"346,816"	"372,160"	"371,891"	"360,849"	"381,698"	"425,141"	"476,380"	"528,128"	"565,309"	"610,859"	"660,014"	"713,626"	"766,088"	"711,517"	"659,640"	"670,618"	"721,896"	"794,894"	"862,283"	"893,432"	"845,381"	"670,261"	"777,027"	"881,274"	"983,401"	"1,035,250"	"1,109,086"	"1,144,101"	"1,119,782"	"1,159,953"	"1,227,620"	"1,240,901"	"1,109,511"	"1,188,638"	"1,317,699"	"1,425,843"
12	      Intellectual property products	Y001RC	577	556	500	442	428	501	563	644	704	754	771	819	"1,130"	"1,196"	"1,142"	"1,237"	"1,433"	"1,837"	"2,020"	"2,075"	"2,040"	"2,261"	"2,359"	"2,983"	"3,667"	"3,888"	"4,318"	"5,225"	"5,586"	"5,986"	"6,630"	"7,142"	"7,979"	"8,399"	"9,243"	"9,808"	"11,135"	"12,802"	"14,003"	"15,582"	"17,152"	"17,947"	"18,678"	"20,577"	"22,681"	"25,517"	"27,811"	"32,189"	"35,817"	"40,358"	"48,068"	"54,354"	"64,773"	"72,674"	"81,343"	"95,048"	"105,327"	"113,543"	"120,116"	"132,674"	"150,117"	"164,426"	"179,129"	"187,667"	"196,912"	"205,705"	"226,849"	"253,303"	"287,964"	"318,126"	"365,127"	"411,339"	"415,040"	"406,222"	"418,656"	"437,819"	"473,134"	"506,332"	"544,828"	"574,384"	"564,354"	"578,170"	"621,733"	"655,691"	"694,599"	"741,461"	"778,879"	"843,007"	"906,246"	"992,217"	"1,074,887"	"1,136,258"	"1,262,147"	"1,418,988"	"1,521,678"
13	    Residential	A011RC	"4,071"	"2,467"	"1,899"	875	724	"1,043"	"1,400"	"1,826"	"2,161"	"2,239"	"3,151"	"3,643"	"4,216"	"2,353"	"1,568"	"1,496"	"1,823"	"7,955"	"12,209"	"15,808"	"14,841"	"20,744"	"18,661"	"18,858"	"19,699"	"21,442"	"25,403"	"23,987"	"22,631"	"22,823"	"28,628"	"26,856"	"27,011"	"29,643"	"32,855"	"35,100"	"35,163"	"33,378"	"33,627"	"40,199"	"44,375"	"43,411"	"58,153"	"72,399"	"78,322"	"69,467"	"66,733"	"86,762"	"115,229"	"138,010"	"147,841"	"129,520"	"128,482"	"110,848"	"161,113"	"190,364"	"200,077"	"234,812"	"249,790"	"256,200"	"256,014"	"239,669"	"221,153"	"254,741"	"286,808"	"323,847"	"324,069"	"358,061"	"375,585"	"418,807"	"461,766"	"485,432"	"513,059"	"557,594"	"637,082"	"749,817"	"856,221"	"838,164"	"690,497"	"515,984"	"390,004"	"376,575"	"378,836"	"432,015"	"511,538"	"564,034"	"640,855"	"710,242"	"773,891"	"811,892"	"827,125"	"920,605"	"1,132,491"	"1,178,802"	"1,111,491"
14	  Change in private inventories	A014RC	"1,539"	-223	"-1,112"	"-2,351"	"-1,404"	-580	"1,141"	"1,161"	"2,626"	-575	208	"2,393"	"4,330"	"1,906"	-746	-924	"-1,477"	"6,011"	-551	"5,659"	"-2,692"	"5,769"	"9,911"	"3,514"	"1,948"	"-1,937"	"4,987"	"3,950"	777	-366	"3,917"	"3,232"	"2,974"	"6,101"	"5,621"	"4,821"	"9,247"	"13,636"	"9,866"	"9,053"	"9,173"	"2,001"	"8,256"	"9,107"	"15,878"	"13,990"	"-6,256"	"17,116"	"22,324"	"25,791"	"17,984"	"-6,331"	"29,809"	"-14,914"	"-5,751"	"65,405"	"21,824"	"6,571"	"27,149"	"18,482"	"27,693"	"14,546"	-394	"16,328"	"20,814"	"63,785"	"31,174"	"30,799"	"70,927"	"63,719"	"60,816"	"54,544"	"-38,284"	"19,975"	"14,094"	"64,068"	"57,513"	"68,989"	"33,950"	"-29,241"	"-150,772"	"53,917"	"46,262"	"71,212"	"105,477"	"84,792"	"140,123"	"39,068"	"32,674"	"56,408"	"72,955"	"-36,071"	"12,193"	"149,647"	"41,695"
15	Net exports of goods and services	A019RC	383	323	1	43	58	322	-213	-147	78	966	833	"1,471"	"1,033"	-252	"-2,246"	"-2,024"	-766	"7,182"	"10,807"	"5,487"	"5,235"	738	"2,513"	"1,164"	-701	404	478	"2,361"	"4,075"	538	397	"4,204"	"4,913"	"4,101"	"4,939"	"6,914"	"5,618"	"3,863"	"3,555"	"1,350"	"1,431"	"3,948"	621	"-3,372"	"4,111"	-815	"15,977"	"-1,631"	"-23,094"	"-25,367"	"-22,545"	"-13,056"	"-12,520"	"-19,974"	"-51,642"	"-102,727"	"-114,018"	"-131,869"	"-144,770"	"-109,393"	"-86,741"	"-77,855"	"-28,614"	"-34,738"	"-65,173"	"-92,487"	"-89,761"	"-96,376"	"-101,971"	"-162,711"	"-259,550"	"-381,073"	"-376,747"	"-439,745"	"-521,955"	"-634,141"	"-739,903"	"-786,453"	"-735,933"	"-740,870"	"-419,153"	"-532,309"	"-579,617"	"-551,617"	"-478,453"	"-508,900"	"-524,320"	"-503,272"	"-543,328"	"-593,077"	"-577,290"	"-626,203"	"-860,029"	"-958,935"	"-797,342"
16	  Exports	B020RC	"5,939"	"4,444"	"2,906"	"1,975"	"1,987"	"2,561"	"2,769"	"3,007"	"4,039"	"3,811"	"3,969"	"4,897"	"5,482"	"4,375"	"4,034"	"4,880"	"6,781"	"14,156"	"18,740"	"15,547"	"14,484"	"12,350"	"17,099"	"16,459"	"15,313"	"15,836"	"17,677"	"21,284"	"24,017"	"20,560"	"22,725"	"27,045"	"27,602"	"29,066"	"31,074"	"35,019"	"37,146"	"40,920"	"43,467"	"47,906"	"51,922"	"59,709"	"62,963"	"70,843"	"95,269"	"126,650"	"138,706"	"149,515"	"159,349"	"186,883"	"230,129"	"280,772"	"305,239"	"283,210"	"276,996"	"302,380"	"303,211"	"320,998"	"363,943"	"444,601"	"504,289"	"551,873"	"594,931"	"633,053"	"654,799"	"720,937"	"812,810"	"867,589"	"953,803"	"952,979"	"992,910"	"1,096,111"	"1,026,812"	"997,979"	"1,035,165"	"1,176,363"	"1,301,580"	"1,470,170"	"1,659,295"	"1,835,280"	"1,582,774"	"1,857,247"	"2,115,864"	"2,217,700"	"2,287,922"	"2,378,545"	"2,270,622"	"2,235,558"	"2,388,260"	"2,538,089"	"2,539,391"	"2,151,139"	"2,555,430"	"3,017,379"	"3,052,469"
17	    Goods	A253RC	"5,347"	"3,929"	"2,494"	"1,667"	"1,736"	"2,238"	"2,404"	"2,590"	"3,451"	"3,243"	"3,347"	"4,124"	"4,533"	"3,389"	"2,920"	"3,589"	"5,365"	"11,764"	"16,097"	"13,265"	"12,213"	"10,203"	"14,243"	"13,449"	"12,412"	"12,929"	"14,424"	"17,556"	"19,562"	"16,414"	"16,458"	"20,453"	"20,947"	"21,709"	"23,345"	"26,767"	"27,974"	"31,089"	"32,547"	"35,721"	"38,744"	"45,037"	"46,196"	"52,586"	"75,771"	"103,494"	"112,490"	"121,484"	"128,410"	"149,907"	"187,266"	"230,428"	"245,206"	"222,550"	"214,049"	"231,286"	"227,489"	"231,447"	"265,554"	"332,054"	"374,750"	"403,265"	"430,135"	"455,308"	"467,723"	"518,371"	"592,442"	"628,785"	"699,887"	"692,565"	"711,724"	"795,054"	"739,568"	"706,582"	"733,875"	"827,975"	"919,344"	"1,043,084"	"1,159,734"	"1,291,025"	"1,057,391"	"1,272,920"	"1,468,456"	"1,529,597"	"1,563,863"	"1,616,954"	"1,496,686"	"1,447,588"	"1,546,657"	"1,669,294"	"1,644,755"	"1,421,647"	"1,747,242"	"2,065,086"	"2,021,950"
18	    Services	A646RC	592	515	412	308	251	323	365	417	588	568	622	773	949	986	"1,114"	"1,291"	"1,416"	"2,392"	"2,643"	"2,282"	"2,271"	"2,147"	"2,856"	"3,010"	"2,901"	"2,907"	"3,253"	"3,728"	"4,455"	"4,146"	"6,267"	"6,592"	"6,655"	"7,357"	"7,729"	"8,252"	"9,173"	"9,831"	"10,920"	"12,185"	"13,178"	"14,671"	"16,767"	"18,257"	"19,498"	"23,156"	"26,216"	"28,031"	"30,939"	"36,976"	"42,863"	"50,344"	"60,033"	"60,660"	"62,947"	"71,094"	"75,722"	"89,552"	"98,389"	"112,547"	"129,539"	"148,608"	"164,795"	"177,745"	"187,076"	"202,566"	"220,369"	"238,805"	"253,916"	"260,414"	"281,187"	"301,056"	"287,244"	"291,397"	"301,290"	"348,388"	"382,236"	"427,086"	"499,561"	"544,255"	"525,382"	"584,326"	"647,408"	"688,103"	"724,059"	"761,591"	"773,936"	"787,970"	"841,603"	"868,795"	"894,635"	"729,492"	"808,188"	"952,293"	"1,030,519"
19	  Imports	B021RC	"5,556"	"4,121"	"2,905"	"1,932"	"1,929"	"2,239"	"2,982"	"3,154"	"3,961"	"2,845"	"3,136"	"3,426"	"4,449"	"4,627"	"6,280"	"6,904"	"7,547"	"6,974"	"7,933"	"10,060"	"9,249"	"11,612"	"14,586"	"15,295"	"16,014"	"15,432"	"17,199"	"18,923"	"19,942"	"20,022"	"22,328"	"22,841"	"22,688"	"24,965"	"26,135"	"28,104"	"31,529"	"37,057"	"39,912"	"46,556"	"50,491"	"55,760"	"62,342"	"74,216"	"91,159"	"127,465"	"122,730"	"151,146"	"182,443"	"212,250"	"252,674"	"293,828"	"317,758"	"303,184"	"328,638"	"405,107"	"417,229"	"452,867"	"508,713"	"553,993"	"591,031"	"629,728"	"623,544"	"667,791"	"719,973"	"813,424"	"902,572"	"963,966"	"1,055,774"	"1,115,690"	"1,252,460"	"1,477,184"	"1,403,559"	"1,437,724"	"1,557,120"	"1,810,504"	"2,041,482"	"2,256,623"	"2,395,228"	"2,576,151"	"2,001,927"	"2,389,555"	"2,695,480"	"2,769,317"	"2,766,375"	"2,887,445"	"2,794,942"	"2,738,830"	"2,931,589"	"3,131,166"	"3,116,681"	"2,777,341"	"3,415,459"	"3,976,314"	"3,849,811"
20	    Goods	A255RC	"4,463"	"3,104"	"2,120"	"1,343"	"1,510"	"1,763"	"2,462"	"2,546"	"3,181"	"2,173"	"2,409"	"2,698"	"3,416"	"2,744"	"3,442"	"3,813"	"3,893"	"5,067"	"5,973"	"7,557"	"6,874"	"9,081"	"11,176"	"10,838"	"10,975"	"10,353"	"11,527"	"12,803"	"13,291"	"12,951"	"15,310"	"15,220"	"15,053"	"16,869"	"17,713"	"19,392"	"22,247"	"26,334"	"27,761"	"33,946"	"36,813"	"40,855"	"46,550"	"56,934"	"71,843"	"104,520"	"99,000"	"124,632"	"152,629"	"177,409"	"212,787"	"248,570"	"267,814"	"250,542"	"272,677"	"336,316"	"343,295"	"370,006"	"414,768"	"452,125"	"484,792"	"508,071"	"500,720"	"544,927"	"592,761"	"676,812"	"757,449"	"807,448"	"885,654"	"930,751"	"1,051,210"	"1,251,173"	"1,176,188"	"1,198,852"	"1,299,036"	"1,513,620"	"1,722,751"	"1,900,640"	"2,002,720"	"2,148,678"	"1,588,115"	"1,947,044"	"2,231,132"	"2,293,265"	"2,293,888"	"2,389,313"	"2,289,591"	"2,218,696"	"2,369,900"	"2,559,050"	"2,516,686"	"2,305,093"	"2,839,604"	"3,257,032"	"3,096,115"
21	    Services	B656RC	"1,093"	"1,017"	785	589	419	476	520	608	780	672	727	728	"1,033"	"1,883"	"2,838"	"3,091"	"3,654"	"1,907"	"1,960"	"2,503"	"2,375"	"2,531"	"3,410"	"4,457"	"5,039"	"5,079"	"5,672"	"6,120"	"6,651"	"7,071"	"7,018"	"7,621"	"7,635"	"8,096"	"8,422"	"8,713"	"9,282"	"10,723"	"12,151"	"12,610"	"13,678"	"14,905"	"15,792"	"17,282"	"19,316"	"22,945"	"23,730"	"26,514"	"29,814"	"34,840"	"39,887"	"45,258"	"49,944"	"52,642"	"55,961"	"68,791"	"73,934"	"82,861"	"93,945"	"101,869"	"106,239"	"121,657"	"122,824"	"122,864"	"127,212"	"136,612"	"145,123"	"156,518"	"170,120"	"184,939"	"201,251"	"226,011"	"227,371"	"238,872"	"258,084"	"296,883"	"318,732"	"355,983"	"392,507"	"427,472"	"413,812"	"442,512"	"464,349"	"476,052"	"472,487"	"498,132"	"505,351"	"520,134"	"561,688"	"572,116"	"599,995"	"472,248"	"575,855"	"719,282"	"753,696"
